Customer_ID,Age,Gender,Marital_Status,Account_Balance,Credit_Score,Tenure_Years,Num_Products,Has_Credit_Card,Is_Active_Member,Estimated_Salary,Num_Bank_Visits,Digital_Usage_Score,Customer_Segment,Churn
CUST00001,56,Male,Widowed,94113.19,829.0,27,4,0,1,59581.61,11,0.82,Affluent,0
CUST00002,69,Male,Single,90688.45,535.0,13,4,1,1,42932.99,8,0.2,Affluent,0
CUST00003,46,Female,Widowed,57113.8,582.0,3,4,0,1,90716.05,8,0.53,Mass Market,1
CUST00004,32,Female,Single,36087.98,381.0,24,2,0,0,93607.57,19,0.25,Affluent,1
CUST00005,60,Male,Married,38733.54,603.0,29,4,1,0,127347.04,0,0.66,Private Banking,1
CUST00006,25,Female,Divorced,41773.38,380.0,8,4,1,1,79413.56,6,0.59,Affluent,0
CUST00007,38,Female,Married,73030.35,636.0,16,4,1,1,125896.25,17,0.95,Private Banking,0
CUST00008,56,Female,Single,45712.26,813.0,2,4,0,0,60471.95,9,0.45,Affluent,1
CUST00009,36,Female,Single,85816.26,408.0,12,4,0,1,94797.87,14,0.87,Affluent,1
CUST00010,40,Male,Divorced,94465.38,721.0,11,2,1,0,47101.46,8,0.58,Mass Market,1
CUST00011,28,Male,Widowed,34258.67,313.0,15,4,0,0,70107.97,10,0.91,Private Banking,0
CUST00012,28,Male,Single,56508.75,507.0,3,4,0,0,131480.16,0,0.29,Mass Market,1
CUST00013,41,Female,Single,10410.6,361.0,17,1,0,0,48078.47,10,0.55,Mass Market,1
CUST00014,70,Female,Single,20846.44,494.0,22,4,0,0,125331.13,0,0.39,Private Banking,1
CUST00015,53,Female,Divorced,41933.11,395.0,2,4,1,1,56773.32,4,0.07,Affluent,1
CUST00016,57,Female,Married,21414.07,505.0,16,2,1,0,24483.66,17,0.57,Mass Market,1
CUST00017,41,Female,Single,87779.49,530.0,0,4,0,1,34291.49,0,0.79,Affluent,1
CUST00018,20,Male,Divorced,16670.34,465.0,18,2,0,0,116964.34,9,0.56,Affluent,1
CUST00019,39,Female,Single,46110.42,661.0,21,3,0,1,54069.22,12,0.28,Mass Market,1
CUST00020,70,Female,Widowed,60964.22,805.0,3,4,1,0,105038.93,7,0.26,Mass Market,1
CUST00021,19,Male,Divorced,69494.53,520.0,16,1,1,1,110895.86,12,0.24,Mass Market,1
CUST00022,41,Female,Single,38923.87,406.0,6,2,1,1,64865.4,19,0.98,Affluent,1
CUST00023,61,Male,Divorced,87040.81,449.0,1,3,1,0,81739.47,1,0.4,Private Banking,1
CUST00024,47,Male,Single,57263.6,770.0,11,1,1,0,72489.72,11,0.32,Private Banking,1
CUST00025,55,Male,Married,44511.27,614.0,4,2,0,0,143155.37,12,0.42,Mass Market,1
CUST00026,19,Male,Single,7656.82,550.0,15,3,0,1,61593.35,7,0.12,Affluent,0
CUST00027,38,Male,Divorced,47004.26,382.0,7,1,1,0,43832.0,14,0.2,Mass Market,1
CUST00028,50,Female,Widowed,82252.85,547.0,22,4,1,0,67527.07,6,0.51,Affluent,1
CUST00029,29,Male,Widowed,61839.56,453.0,26,1,0,1,107037.04,6,0.8,Private Banking,1
CUST00030,39,Male,Widowed,83384.08,819.0,27,1,1,0,110657.15,16,0.88,Private Banking,0
CUST00031,61,Female,Single,49907.16,786.0,7,1,0,0,140127.45,18,0.87,Mass Market,1
CUST00032,42,Female,Married,12727.71,346.0,12,2,1,1,134628.08,2,0.94,Mass Market,1
CUST00033,66,Male,Single,2350.34,584.0,25,4,0,0,57481.67,6,0.13,Private Banking,1
CUST00034,44,Female,Widowed,31018.74,424.0,13,4,1,1,79171.22,11,0.04,Affluent,1
CUST00035,59,Female,Divorced,70101.06,526.0,10,2,0,0,117144.97,13,0.11,Private Banking,1
CUST00036,45,Male,Widowed,79235.73,782.0,5,1,0,1,139149.85,1,0.6,Affluent,1
CUST00037,33,Male,Divorced,30279.53,590.0,15,4,1,1,63831.45,6,0.56,Mass Market,1
CUST00038,32,Female,Married,50069.74,484.0,22,1,1,0,77777.39,15,0.67,Private Banking,0
CUST00039,64,Male,Divorced,42690.77,414.0,24,4,1,1,136932.18,8,0.37,Mass Market,0
CUST00040,68,Male,Single,41641.76,740.0,21,2,1,0,66602.9,0,0.39,Private Banking,1
CUST00041,61,Female,Single,23903.52,643.0,24,3,1,1,82466.69,11,0.55,Mass Market,1
CUST00042,72,Male,Single,14500.74,557.0,14,1,0,1,137585.54,1,0.08,Private Banking,1
CUST00043,69,Male,Divorced,20472.17,420.0,15,4,1,0,124291.62,17,0.8,Private Banking,0
CUST00044,74,Male,Single,6477.91,484.0,12,4,1,0,51646.02,13,0.92,Mass Market,1
CUST00045,20,Male,Single,20614.94,828.0,11,4,1,0,62223.36,11,0.39,Private Banking,0
CUST00046,54,Male,Single,1910.89,586.0,17,2,1,1,65884.63,17,0.74,Private Banking,1
CUST00047,68,Female,Married,63098.58,520.0,28,2,0,0,138656.0,4,0.55,Private Banking,1
CUST00048,24,Female,Divorced,32321.17,587.0,17,3,1,1,149861.39,6,0.24,Private Banking,1
CUST00049,38,Male,Divorced,97341.33,728.0,13,2,1,1,120620.56,3,0.07,Mass Market,1
CUST00050,26,Female,Widowed,20177.99,487.0,1,1,1,0,82962.42,12,0.25,Mass Market,1
CUST00051,56,Male,Divorced,35237.03,398.0,21,2,1,1,21322.6,15,0.6,Private Banking,1
CUST00052,35,Male,Married,36426.27,622.0,1,4,0,0,110673.45,15,0.04,Private Banking,1
CUST00053,21,Male,Divorced,1836.7,666.0,2,1,0,1,70616.95,18,0.84,Mass Market,1
CUST00054,42,Male,Married,84081.59,692.0,28,2,0,0,102288.24,3,0.97,Private Banking,0
CUST00055,31,Male,Married,4167.45,785.0,23,1,0,1,98870.22,19,0.08,Affluent,0
CUST00056,67,Female,Divorced,94077.8,504.0,7,1,0,1,82508.17,19,0.25,Mass Market,1
CUST00057,26,Female,Widowed,89315.36,341.0,10,2,1,0,142770.36,0,0.68,Private Banking,1
CUST00058,43,Male,Single,54016.67,827.0,11,1,0,1,23009.02,12,0.81,Affluent,0
CUST00059,70,Female,Single,54815.96,539.0,3,4,0,1,112577.22,19,0.35,Private Banking,1
